question,answer
Che tipo di attrezzatura sportiva posso portare con me?,"Puoi portare un set di attrezzature sportive come indicato di seguito: Attrezzature da sci e snowboard; Bicicletta in apposito imballaggio da viaggio con ruote e pedali rimossi e manubrio posizionato in parallelo al telaio o imballato in scatola a parte, a condizione che le ruote siano sgonfie; Attrezzatura da golf; Attrezzatura da sub soggetta ai requisiti seguenti: o La bombola deve essere vuota; o La pressione nella bombola deve essere pari a quella ambientale; o La fonte di alimentazione o l'ampolla devono essere rimosse dalla lampadina; o L'interruttore della lampadina deve essere spento; Aste per salti: non possono superare le dimensioni indicate di seguito e devono essere imballate in sacchi di tessuto: o Larghezza: 0,25 metri; o Altezza: 0,25 metri; o Lunghezza: 5,309 metri; Attrezzatura da surf e windsurf; ALTRE attrezzature sportive non indicate sopra possono essere trasportate previa approvazione di Wizz Air. Chiama il call center almeno 72 ore prima della partenza. Se non diversamente specificato, l'attrezzatura sportiva non può superare le dimensioni massime di: Larghezza: 1,499 metri; Altezza: 1,194 metri; Lunghezza: 1,715 metri; L'attrezzatura sportiva non può pesare più di 32 kg."
"Posso portare non solo gli sci ma anche il casco, gli scarponi ecc.?","Sì, puoi portare l'intero set di attrezzature, ma devi posizionare tutto in un'apposita borsa. Il peso massimo è 32 kg e non sono previste restrizioni per le dimensioni. Se le attrezzature non sono adeguatamente imballate, non sarà possibile trasportarle."
Posso portare lo zaino antivalanga con me?,"Sì, puoi portare uno zaino antivalanga con te come bagaglio a mano o da stiva, ma non può essere considerato come attrezzatura sportiva. Fai attenzione alle dimensioni dei bagagli, ulteriori informazioni qui: https://wizzair.com/en-gb/information-and-services/travel-information/baggage#/ . Sono previsti i limiti seguenti per gli zaini antivalanga: Cartuccia d'aria compressa: consentita solo se viene impiegato gas non infiammabile Biossido di carbonio ed elio: consentiti Ventola elettrica: a seconda del tipo e della capacità della batteria, sono previsti limiti per le batterie agli ioni di litio come indicato qui: https://wizzair.com/en-gb/information-and-services/travel-information/baggage#/"
Quali sono le dimensioni massime dell'oggetto che posso portare a bordo acquistando un posto extra?,"Come compagnia aerea accettiamo le seguenti dimensioni massime per l'oggetto portato a bordo acquistando un posto extra: 66x44x75 o 18x48x117 cm. Le dimensioni esatte dipendono dalla forma (prisma, conico, cilindrico, ellittico). Puoi sempre verificare le dimensioni accettate contattando gli operatori del call center. Per la conferma finale prima del viaggio, contatta l'aeroporto di partenza e verifica che l'oggetto sia accettato ai controlli di sicurezza. Le autorità locali dell'aeroporto potrebbero imporre limitazioni specifiche (per l'aspetto, la confezione o le dimensioni dell'oggetto) che richiedono ulteriori disposizioni per il controllo."
POSSO PORTARE SIGARETTE ELETTRONICHE A BORDO?,"Sì, puoi portare sigarette elettroniche, sigari elettronici o alti vaporizzatori personali alimentati a batteria, per uso personale solo nel bagaglio a mano. È vietato inserire sigarette elettroniche nel bagaglio da stiva. Ricaricare tali dispositivi e/o le batterie a bordo del velivolo non è consentito e occorre adottare le misure necessarie per prevenirne l'attivazione accidentale. L'uso di sigarette elettroniche a bordo è vietato."
POSSO PORTARE IL MIO DRONE/HOVERBOARD CON ME?,"No, purtroppo per motivi di sicurezza non è consentito portare tali dispositivi né a bordo né nel bagaglio da stiva."
Come posso scegliere il posto?,"Durante la prenotazione puoi scegliere un posto pagando un supplemento. Se decidi di non scegliere un posto, ti verrà assegnato un posto automaticamente e in modo casuale durante il check-in. Il numero di posto selezionato e il relativo costo sono sempre visualizzati nella casella di riepilogo del pagamento. Puoi anche selezionare un posto online dopo la prenotazione e il check-in, fino a 3 ore prima della partenza."
Quali posti posso scegliere?,"Potrai scegliere qualsiasi posto disponibile sul velivolo, a seconda della disponibilità e delle limitazioni di sicurezza. I posti davanti e in prima fila si trovano nella parte anteriore del velivolo e permettono di essere tra i primi a uscire all'arrivo. I posti più spaziosi hanno più spazio per le gambe e consentono un viaggio più confortevole. Per motivi di sicurezza, i passeggeri di età inferiore a 16 anni, in sovrappeso, che necessitano di assistenza speciale, in stato di gravidanza e che viaggiano con neonati non possono sedersi in una fila vicina all'uscita di sicurezza o nella prima fila."
Wizz Air ha cambiato il mio volo. Che succede al posto che ho selezionato?,"1. Se il volo è nella stessa data ed è stato cambiato solo l'orario di partenza, la prenotazione del posto resta la stessa. 2. Se il volo è stato spostato a un giorno diverso ed hai già pagato per il tuo posto, seleziona un nuovo posto online per lo stesso prezzo. Se scegli un posto più costoso, dovrai pagare solo la differenza. Se scegli un posto più economico, contatta il Call center di Wizz Air per chiedere in rimborso."
Ho cambiato volo. Che succede al posto che ho selezionato?,"Il supplemento pagato per la scelta del posto non è rimborsabile. Puoi accettare il posto assegnato automaticamente per il nuovo volo oppure scegliere un altro posto pagando il supplemento previsto. In questo caso dovrai pagare solo la differenza tra i due posti. Se accetti i posti assegnati o se scegli posti di valore inferiore al tuo saldo, puoi utilizzare il resto del saldo per acquistare altri servizi."
Come trovo il mio posto sull'aereo?,Puoi controllare la posizione del tuo posto sulla Mappa dei posti. Utilizza la porta anteriore se siedi nelle file da 1 a 15 e la porta posteriore se siedi nelle file da 16 a 30.
Posso posizionare lo strumento musicale su qualsiasi posto?,"No, per motivi di sicurezza gli strumenti che viaggiano posizionati sul posto extra in cabina non possono essere posizionati sui posti in prima fila o nelle file accanto alle uscite di emergenza, ma devono essere posizionati su un posto finestrino."
Come posso ricevere assistenza speciale?,"Per consentirci di rendere il tuo viaggio comodo e sicuro, informa Wizz Air almeno 48 ore prima della partenza programmata della tua disabilità fisica, dei tuoi problemi di mobilità o di qualsiasi altra condizione che potrebbe richiedere assistenza medica. Puoi effettuare la richiesta online durante la procedura di prenotazione oppure contattando il Call center per l'assistenza speciale. Ti consigliamo di chiamare il giorno della prenotazione."
Posso usare la mia sedia a rotelle per arrivare al velivolo?,"No, non puoi portare la tua sedia a rotelle fino al velivolo. Te ne forniremo una da utilizzare per raggiungere l'aereo, durante il volo e per lo sbarco all'arrivo. La tua sedia a rotelle verrà trasportata gratuitamente nella stiva."
Posso usare il mio dispositivo per l'ossigeno durante il volo?,"No, il contenitore per l'ossigeno non può essere portato a bordo. Possiamo fornire ossigeno supplementare ai passeggeri che ne hanno bisogno per ragioni mediche. È necessario esibire un certificato di idoneità a viaggiare in aereo, che confermi quanto segue: l'utilizzo del dispositivo medicale è necessario ma il paziente è idoneo a viaggiare in aereo; il passeggero non necessita di ossigeno continuo per più di 250 minuti a un flusso di 2 L/min; per motivi di sicurezza l'ossigeno non può essere erogato durante il decollo e l'atterraggio e il passeggero lo accetta; l'ossigeno fornito da Wizz Air è idoneo per il passeggero."
Sono asmatico. Posso portare l'inalatore con me?,"Sì, puoi portare e utilizzare il tuo inalatore a bordo."
Le mie condizioni cardiologiche mi impediscono di volare?,"Se sei affetto da una patologia coronarica, cardiaca, polmonare o celebrale o sei stato sottoposto a un intervento chirurgico correlato a tali patologie, devi fornire un certificato di idoneità a volare che attesti che non vi sono motivi particolari che ti impediscono di viaggiare. Ricorda che il certificato deve essere rilasciato entro sei giorni dalla data del volo."
La mia patologia mi impedisce di volare?,"Se temi che la tua patologia possa impedirti di volare, ti consigliamo di rivolgerti al tuo medico prima di partire. Se hai bisogno di assistenza speciale a bordo a causa della patologia di cui soffri, informaci prima della partenza fornendo un certificato di idoneità a viaggiare in aereo in cui sia indicato che la tua patologia non ti impedisce di viaggiare. Tieni presente che deve essere emesso entro 6 giorni dalla data del volo. Ti informiamo che se soffri di malattie contagiose non è consentito viaggiare in aereo."
Sono diabetico. Posso assumere insulina a bordo?,"Sì, puoi assumere insulina a bordo. Ti informiamo che però non possiamo fornirti una borsa frigorifero. Puoi portarne una tua gratuitamente. Dovrai portare con te un certificato medico che conferma che necessiti del medicinale durante il viaggio. Presenta il documento ai controlli di sicurezza dell'aeroporto, se richiesto."
Sono cieco. Posso portare il mio cane con me?,"Sì, puoi portare gratuitamente il tuo cane guida. Indica che viaggerai con un cane guida durante la prenotazione e informa il Call Center per l'assistenza speciale oppure invia un'email all'indirizzo dell'assistenza speciale. Inviaci i seguenti documenti non più tardi di 48 ore prima dell'ora di partenza prevista: Certificato attestante che il tuo cane è un cane guida Tutta la documentazione indicata nelle normative dei paesi di partenza e arrivo"
"Sono ipovedente, posso inoltrare un reclamo?","Se non riesci a inviare il reclamo attraverso il modulo disponibile sul sito, puoi inviare il testo del reclamo alla casella di posta specialassistance@wizzair.com tramite messaggio vocale. Se non hai un dispositivo che consenta di inviare un messaggio vocale alla casella, puoi chiedere aiuto al call center e specificare come vorresti ricevere la risposta."
Ho la gamba rotta. Posso volare comunque?,"Se puoi sederti, puoi volare. Se la gamba rotta e ingessata non può piegarsi all'altezza del ginocchio, dovrai acquistare un posto extra."
Quali documenti servono?,"Devi esibire tutti i documenti di viaggio validi e necessari al check-in o al gate di imbarco. Inoltre, dovrai rispettare tutti i requisiti di ingresso e migrazione del paese da cui voli, in cui fai scalo o a cui sei diretto. Se non disponi di un passaporto o visto idonei o dei documenti di viaggio necessari e ti viene negato l'ingresso in un paese, dovrai farti carico delle conseguenti spese di trasporto e di eventuali costi di vitto e alloggio. Per informazioni dettagliate relative ai requisiti per il visto, contatta il ministero degli esteri, l'ambasciata o il consolato del paese che intendi visitare. Dovrai presentare lo stesso documento fornito durante il check-in online."
Il mio passaporto scade prima del volo di ritorno. Cosa fare?,"Se non hai ancora una prenotazione confermata, ti consigliamo di prenotare i voli di andata e ritorno con due prenotazioni separate. In questo caso potrai utilizzare documenti di viaggio diversi al momento del check-in. Se hai già una prenotazione confermata, contatta il call center di Wizz Air"
Dispongo di tutti i documenti di viaggio necessari ma mi è stato negato l'ingresso nel paese. Ho diritto a un rimborso?,"Le autorità di frontiera possono decidere di impedire l'ingresso nel loro paese sulla base di informazioni a cui non abbiamo accesso. Non è previsto alcun rimborso per i voli o servizi di cui i viaggiatori non possono usufruire a causa di tale impedimento e gli stessi viaggiatori saranno responsabili e dovranno farsi carico di eventuali spese di trasporto, vitto e alloggio."
A bordo è riservato un posto speciale per i seggiolini auto dei neonati?,I seggiolini auto per neonati possono essere montati nei posti finestrino. Il posto a sedere accanto a quello per il seggiolino auto deve essere occupato da un adulto in normali condizioni fisiche di almeno 16 anni che sarà responsabile del neonato posto nel seggiolino. Il seggiolino auto per neonati non può essere posizionato nelle file con le uscite di emergenza e nelle file immediatamente anteriori o posteriori alle uscite di emergenza. Seguire sempre le  istruzioni del personale di volo.
Il personale di bordo mi aiuterà a installare il seggiolino?,I viaggiatori sono gli unici responsabili dell'installazione del seggiolino auto del proprio bambino. L'equipaggio WIZZ mostrerà ai viaggiatori i posti a sedere idonei per il montaggio dei seggiolini e si accerterà che visivamente il seggiolino sia opportunamente installato per l'uso a bordo.
*Quanti adulti/bambini possono viaggiare con un neonato usufruendo dell'imbarco prioritario gratuito?,"Imbarco prioritario con un neonato: 2 adulti, numero illimitato di bambini per 1 bimbo piccolo Chi viaggia con un neonato (meno di 2 anni) usufruisce dell'imbarco prioritario gratuito: 2 adulti per ogni neonato. Tutti i bambini (numero illimitato) inclusi nella stessa prenotazione accedono  all'imbarco prioritario. Poiché i bambini piccoli devono sedere in braccio a un adulto, ogni neonato deve essere accompagnato da un adulto. Inoltre,  per ogni gruppo che viaggia con un neonato è incluso l'imbarco prioritario per 2 adulti del gruppo. Ad esempio, per una famiglia con 2 neonati è consentito l'imbarco prioritario per 4 adulti inclusi nella stessa prenotazione. Il rapporto di 1 bambino piccolo/2 adulti nella stessa prenotazione è limitato esclusivamente al numero di bambini di età inferiore ai due anni."
Come si invia un reclamo?,Occore compilare il modulo di reclamo prestando particolare attenzione alla selezione della categoria giusta. Si riceverà un ID univoco al quale bisognerà fare sempre riferimento. Faremo del nostro meglio per elaborare la richiesta il più presto possibile. Sarà certamente fornita una risposta entro 30 giorni.
"Il mio volo è stato cancellato da Wizz Air, cosa devo fare?","In caso di variazione della programmazione o di cancellazione del volo da parte di Wizz Air prima della partenza programmata, i passeggeri verranno informati e riceveranno le opzioni disponibili via email all'indirizzo specificato durante la prenotazione. Le notifiche vengono indirizzate direttamente ai recapiti del titolare della prenotazione e si riferiscono a tutti i passeggeri inclusi nella prenotazione. È responsabilità del titolare della prenotazione/dell'agenzia informare tutti gli altri passeggeri inclusi nella prenotazione di eventuali modifiche dei voli. In tali casi è possibile scegliere tra le opzioni seguenti, che possono variare caso per caso: Accedere al profilo WIZZ (titolare della prenotazione) e riprenotare il viaggio gratuitamente su un altro volo operato da Wizz Air sulla stessa rotta o, se necessario, su una rotta simile, secondo la disponibilità dei posti. Se i voli disponibili non soddisfano le esigenze del viaggiatore, gli verranno offerte le opzioni di rimborso nel corso della procedura di prenotazione del nuovo volo online. Accedere al profilo WIZZ (titolare della prenotazione) e richiedere crediti WIZZ per l'intero valore de pagamento in riferimento al volo cancellato o modificato , più il 20% della tariffa pagata per il volo cancellato o modificato sul conto WIZZ. I crediti di viaggio possono essere utilizzati per l'acquisto di qualsiasi volo e/o servizio WIZZ in futuro. Successivamente, se desiderato, è possibile richiedere un rimborso del 100% sul metodo di pagamento originale in luogo dei crediti WIZZ (opzione soggetta alle limitazioni del metodo di pagamento). In tal caso il 20% extra non viene riconosciuto. Wizz Air non offre ai passeggeri alcun rimborso o possibilità di effettuare una nuova prenotazione nei casi in cui la variazione sia stata effettuata nei 14 giorni che precedono la partenza del volo e la modifica risulti in una differenza di tempo inferiore a cinque ore. In caso di difficoltà con le suddette istruzioni, contatta il call center Wizz Air."
Riceverò una fattura?,"Riceverai una fattura elettronica all'indirizzo email fornito in fase di prenotazione Le fatture elettroniche vengono emesse in conformità alle normative ungheresi rilevanti. Inoltre, è possibile richiedere una copia cartacea della fattura elettronica pagando un supplemento tramite il Call Center di Wizz Air . Le copie cartacee saranno inviate tramite posta all'indirizzo fornito in fase di prenotazione. Puoi richiedere una fattura modificata contenente dati diversi pagando un supplemento . Per ulteriori informazioni, consulta la Guida alla fatturazione."
Dove si acquista l'abbonamento Privilege Pass?,Puoi aggiungere l'abbonamento al Privilege Pass durante la prenotazione o puoi acquistarlo singolarmente.
Posso usare i vantaggi dell'abbonamento per tutta la famiglia?,"No, il servizio Privilege Pass è valido solo per il passeggero che si registra e acquista l'abbonamento e non è possibile estenderne i vantaggi ad altri compagni di viaggio."
Posso cambiare il nome del titolare dell'abbonamento?,"No, il nome dell'abbonato al Privilege Pass non può essere cambiato. Il servizio non è trasferibile a terzi."
Come si blocca una tariffa?,Il servizio Blocco tariffa è disponibile online su wizzair.com e sull'app mobile durante la prenotazione e permette di bloccare la tariffa scelta per un periodo di 48 ore pagando un supplemento .
Come si finalizza la prenotazione?,"Puoi finalizzare la tua prenotazione online su wizzair.com o tramite l'app mobile entro 48 ore dal blocco della tariffa, aggiungi i nomi di tutti i passeggeri e paga l'importo residuo."
Come si paga il Blocco tariffa?,Puoi pagare la prenotazione con carta di credito e/o con i crediti del tuo conto WIZZ.
Il Blocco tariffa è disponibile durante le promozioni?,"No, il servizio Blocco tariffa non può essere usato insieme ad altri prezzi promozionali o offerte speciali."
Il Blocco tariffa viene rimborsato in caso di cancellazione del volo?,"Sì, il supplemento Blocco tariffa viene rimborsato nell'eventualità in cui il volo venga cancellato da Wizz Air."
Cosa succede se la programmazione del volo cambia durante il blocco della tariffa?,"Se la programmazione del volo selezionato con tariffa bloccata viene modificata entro il periodo di blocco della tariffa, il passeggero ha la facoltà di accettare la modifica e procedere con la prenotazione alla tariffa bloccata oppure di richiedere online il rimborso del supplemento per il Blocco tariffa."
Il Blocco tariffa è disponibile per tutti i voli?,"Il Blocco tariffa è disponibile per le prenotazioni effettuate oltre i 7 giorni che precedono la data di partenza. Se selezioni un volo andata e ritorno, il servizio è disponibile per le prenotazioni effettuate oltre i 7 giorni che precedono la data del primo volo."
Non posso viaggiare. Posso avere il rimborso del supplemento per l'imbarco prioritario?,"No, il supplemento per l'imbarco prioritario WIZZ non è rimborsabile."
Quali tipi di pasti sono forniti?,"I servizi di WIZZ Café e WIZZ Boutique iniziano qualche minuto dopo il decollo. Durante il servizio ti sarà offerta un'ampia scelta di prodotti, dalle bevande calde, ai regali, agli accessori. Per conoscere la gamma di prodotti completa offerta da WIZZ Café e WIZZ Boutique, fai clic qui ."
Posso pagare con carta a bordo?,"Si, puoi pagare con carta. Ti informiamo delle seguenti condizioni di pagamento: Puoi pagare solo con VISA o MasterCard, sia carte di debito sia di credito. Il valore massimo per transazione è di 150 €. L'importo massimo combinato pagabile da un cliente che usa una o più carte di credito è di 150 €. Il valore minimo per transazione è 2 €."
Non riesco ad accedere. Cosa devo fare?,È possibile che siano state eseguite più registrazioni con lo stesso indirizzo email. In questi casi l'accesso risulta bloccato. Contatta il Call center di Wizz Air per ottenere l'unione degli account duplicati.
Non riesco a trovare la mia prenotazione. Che succede?,È possibile che hai effettuato la prenotazione accedendo con un altro profilo. Contatta il call center di Wizz Air .
Ho fatto un errore durante la registrazione. Cosa fare?,"Puoi correggere gli errori ridigitando i dati personali rilevanti nel tuo profilo. Per procedere, accedi e fai clic su Il mio profilo. Tutti i campi sono modificabili, ad eccezione di nome, titolo e indirizzo email. Una volta inserite le modifiche, fai clic su Salva per confermarle. In alternativa, contatta il Call center di Wizz Air per ricevere assistenza."
IL SERVIZIO È DISPONIBILE PER TUTTE LE PRENOTAZIONI?,"Il servizio non è disponibile per le prenotazioni di gruppo,  i neonati o i passeggeri che necessitano di assistenza speciale. Se viaggi con un neonato, è obbligatorio specificarne il nome al momento della prenotazione."
POSSO AGGIUNGERE UN COMPAGNO DI VIAGGIO FLESSIBILE DOPO AVER CREATO LA PRENOTAZIONE?,"Il servizio è disponibile solo prima di aver completato la prenotazione. Una volta finalizzata la prenotazione, se desideri cambiare i nomi dei tuoi compagni di viaggio non puoi farlo tramite il servizio Compagno di viaggio flessibile, ma dovrai specificare i nomi dei nuovi compagni di viaggio e pagare l'apposito supplemento per il cambio di nome."
POSSO FARE UNA PRENOTAZIONE SENZA INSERIRE ALCUN NOME?,"No, devi indicare almeno un nome nella prenotazione."
POSSO EFFETTUARE IL CHECK-IN SENZA INSERIRE TUTTI I NOMI?,No. È necessario inserire tutti i nomi per poter effettuare il check-in del volo prenotato.
FINO A QUANDO È POSSIBILE EFFETTUARE IL CHECK-IN ONLINE?,Il check-in va effettuato al massimo entro 3 ore dalla partenza prevista per il volo.
CHE SUCCEDE SE NON INDICO TUTTI I NOMI DEI PASSEGGERI FINO AL MOMENTO DEL CHECK-IN?,"Se non hai fornito i nomi di tutti i tuoi compagni di viaggio flessibili fino al momento del check-in online, Wizz Air considera le prenotazioni per i compagni di viaggio flessibili per cui non hai specificato il nome cancellate e applica i termini delle condizioni generali di trasporto. Se hai selezionato la tariffa PLUS e desideri effettuare il check-in in aeroporto, dovrai fornire i nomi dei compagni di viaggio flessibili online accedendo alla prenotazione entro e non oltre 3 ore dalla partenza prevista per il volo. Se non indichi i nomi mancanti, le relative prenotazioni saranno cancellate. Ad esempio, se avevi prenotato un biglietto per 5 persone e hai fornito solo due nomi in fase di prenotazione, aggiungendo tre compagni di viaggio flessibili e non fornisci il nome di uno dei compagni di viaggio flessibili entro la scadenza prevista, Wizz Air considererà come cancellata la prenotazione di un compagno di viaggio e agirà in conformità alle condizioni generali di trasporto."
QUALI METODI DI PAGAMENTO SONO ACCETTATI?,Puoi pagare la prenotazione con carta di credito o con i crediti del tuo conto WIZZ. Non è possibile pagare tramite bonifico bancario le prenotazioni che prevedono compagni di viaggio flessibili.
POSSO CORREGGERE I NOMI DOPO AVER COMPLETATO LA PRENOTAZIONE?,"Una volta inseriti i nomi dei compagni di viaggio flessibili, puoi cambiarli corrispondendo la tariffa di cambio di nome ."
"SE HO SELEZIONATO LA TARIFFA PLUS E HO AGGIUNTO UN COMPAGNO DI VIAGGIO FLESSIBILE, POSSO USUFRUIRE DEL SERVIZIO DI CHECK-IN IN AEROPORTO?","Sì, puoi effettuare il check-in in aeroporto, ma solo se hai fornito i nomi dei compagni di viaggio flessibili online non oltre 3 ore prima della partenza prevista per il volo. In caso contrario, Wizz Air considererà la prenotazione del compagno di viaggio flessibile anonimo come cancellata dall'utente."
CHE SUCCEDE SE NON FORNISCO IL NOME DI NESSUNO DEI MIEI COMPAGNI DI VIAGGIO FLESSIBILI ENTRO LA SCADENZA PREVISTA?,"Se non indichi il nome entro la scadenza prevista, Wizz Air considererà la prenotazione per i compagni di viaggio anonimi come cancellata e agirà in conformità alle condizioni generali di trasporto. Se ti presenti in aeroporto con il tuo compagno di viaggio il cui nome non compare nella prenotazione, il passeggero non potrà viaggiare."
HO SELEZIONATO IL SERVIZIO COMPAGNO DI VIAGGIO FLESSIBILE E NON RIESCO A SELEZIONARE IL CHECK-IN IN AEROPORTO. COME MAI?,"Il servizio di check-in in aeroporto non è disponibile se la prenotazione include il servizio Compagno di viaggio flessibile, tranne nel caso in cui tu abbia selezionato la tariffa PLUS. Anche se hai selezionato la tariffa PLUS e desideri effettuare il check-in in aeroporto, devi indicare i nomi dei compagni di viaggio flessibili online, non oltre 3 ore prima della partenza prevista per il tuo volo."
"Se aggiungo il check-in automatico, quando avviene effettivamente il check-in?",Il check-in viene effettuato automaticamente 50 ore prima della partenza.
Quando posso aggiungere il check-in automatico alla prenotazione?,Puoi aggiungerlo in qualsiasi momento fino a 4 ore prima della partenza del volo.
"Se la mia prenotazione include più passeggeri, quante volte devo acquistare il servizio?",Il check-in automatico deve essere aggiunto singolarmente per ciascun passeggero e ciascuna tratta della prenotazione.
Come faccio a sapere se il servizio è supportato presso l'aeroporto?,"Se l'aeroporto accetta il check-in online, anche il  check-in automatico è supportato."
Come si ricevono le carte di imbarco con il check-in automatico?,Il titolare della prenotazione riceve la propria carta di imbarco e quelle per gli altri passeggeri inclusi nella prenotazione via email. Le carte di imbarco vengono inviate subito dopo l'esecuzione del check-in. È possibile accedervi anche tramite  l'itinerario online.
Devo stampare le carte di imbarco?,"Alcuni aeroporti accettano carte di imbarco digitali, ma se non è così assicurati di stamparle."
È possibile aggiungere il check-in automatico con altri pacchetti volo speciali WIZZ?,"Sì. Il check-in automatico è incluso nel pacchetto WIZZ Plus, ma può essere incluso anche con i servizi WIZZ Flex, check-in in aeroporto, compagno di viaggio flessibile o WIZZ Priority."
Perché devo inviare il numero di telefono e i dati del documento di viaggio per usare il check-in automatico?,"Per utilizzare il check-in automatico, dobbiamo verificare il numero di telefono dei passeggeri che transitano nell'area Schengen e i documenti di viaggio per chi viaggia fuori dall'area Schengen."
"Se aggiungo il check-in automatico per la tratta di andata e quella di ritorno, devo specificare il numero di telefono/documento di viaggio due volte?","No, basta inviare le informazioni una sola volta."
Dove si aggiunge il check-in automatico sul sito o nell'app?,"Puoi aggiungerlo quando prenoti il volo, quando usi il blocco tariffa e nella pagina dell'itinerario. In generale, il servizio non è disponibile in altre sezioni del sito."
Quando devo inserire il numero di telefono e/o i dati del documento di viaggio?,"Chiediamo di specificare queste informazioni nella pagina dell'itinerario ed è possibile aggiungerle fino a 4 ore prima della partenza programmata del volo . Se si aggiungi i dati successivamente, il servizio non viene attivato."
Il mio volo è stato cancellato. Posso ricevere il rimborso del check-in automatico di cui non ho usufruito?,"Sì, il costo del servizio viene rimborsato se il volo viene cancellato o se hai modificato i piani di viaggio con il servizio WIZZ Flex non oltre 14 giorni prima della partenza programmata del volo. Il check-in automatico non è rimborsabile se hai cambiato volo senza il servizio WIZZ Flex, nei casi in cui hai prenotato con il check-in automatico e il viaggio prevede aeroporti che accettano solo il check-in manuale o se avevi già fatto il  check-in manualmente."
Ho dimenticato di inserire il numero di telefono e/o il documento di viaggio e il check-in automatico non ha funzionato. Posso ricevere un rimborso?,No. Era tua responsabilità inserire le informazioni richieste secondo i termini del servizio di check-in automatico.
"Il check-in mi è stato proposto durante la scelta del posto, quindi l'ho effettuato. Il costo del check-in automatico mi verrà rimborsato?","No, il check-in automatico effettua il check-in automaticamente, ma non è consentito fare il check-in manuale prima. In tali casi, non si ha diritto al rimborso."
"Ho fatto il check-in manualmente prima del volo, come faccio di solito, non ho usato il check-in automatico. Posso ricevere un rimborso?","Purtroppo, non è previsto alcun rimborso in questi casi."
Cosa sono i Voli MIX & MATCH? Significa che Wizz Air opera voli di collegamento con scalo?,"Wizz Air non opera voli di collegamento con scalo ma aiuta i clienti a usufruire dell'ampia rete di destinazioni WIZZ. Ti mostriamo le destinazioni e ti guidiamo nella procedura di prenotazione, tutto ciò che devi fare è pianificare la tua prossima avventura e organizzare il viaggio prenotando due voli, passando per un aeroporto intermedio all'interno della nostra rete."
Come si prenota un Volo MIX & MATCH?,"Le raccomandazioni per Voli MIX & MATCH sono presenti solo sul sito web di Wizz Air. Puoi prenotare un Volo MIX & MATCH su wizzair.com selezionando la rotta e le date che preferisci nella casella di ricerca (i Voli MIX & MATCH sono contrassegnati da +1, ad es.: Tallin +1) e seguendo le istruzioni. Tramite le raccomandazioni per Voli MIX & MATCH è possibile prenotare solo un intero viaggio andata e ritorno. Prima di tutto, devi prenotare i primo viaggio andata e ritorno dall'aeroporto di partenza all'aeroporto intermedio. Dopo aver completato e pagato la prima prenotazione, verrai reindirizzato alla pagina per completare la seconda prenotazione, ovvero un secondo volo andata e ritorno dall'aeroporto intermedio alla destinazione finale. Si applica la consueta politica di cancellazione per ciascuna prenotazione di Voli MIX & MATCH. Una volta prenotato/pagato il viaggio andata e ritorno, non è possibile cancellarlo gratuitamente anche se l'acquisto del viaggio andata e ritorno successivo non viene finalizzato. Le prenotazioni sono indipendenti l'una dall'altra. Ad esempio, se vuoi fare un viaggio andata e ritorno da Gran Canaria a Praga via Roma, dovrai prenotare prima il viaggio andata e ritorno Gran Canaria-Roma-Gran Canaria. Successivamente, potrai prenotare e pagare il viaggio andata e ritorno Roma-Praga-Roma. Verranno generate due prenotazioni andata e ritorno separate e riceverai due codici di conferma separati in due diverse email."
Sono disponibili raccomandazioni per Biglietti MIX & MATCH per tutte le possibili combinazioni di rotte?,"No, la sezione Voli MIX & MATCH mette a disposizione solo una selezione di rotte. Verifica tutti i Voli COMBINATI al momento disponibili usando la casella di ricerca su wizzair.com (le raccomandazioni per i voli COMBINATI sono indicate in questo modo: ""[nome destinazione] +1"")."
Come si paga per un Volo MIX & MATCH?,"Al momento, i Voli MIX & MATCH possono essere acquistati solo con carta di credito bancaria. Durante la prenotazione, dovrai effettuare due pagamenti separati, uno per ciascun viaggio andata e ritorno."
Come essere certi di avere tempo a sufficienza per prendere il secondo volo?,I Voli MIX & MATCH sono disponibili solo quando è disponibile un tempo ottimale per effettuare tutte le procedure di check-in e controlli di sicurezza in aeroporto. Vengono considerate almeno 3 ore di tempo per lo scalo. Wizz Air declina ogni responsabilità se non ti presenti in tempo per il check-in/imbarco sul secondo volo.
Come si effettua il check-in per i Voli MIX & MATCH?,"Devi fare il check-in per ciascuna tratta e prenotazione separatamente entro i tempi consueti. Puoi effettuare il check-in online a partire da almeno 30 giorni/48 ore prima della partenza programmata e fino a 3 ore prima. In alternativa, il check-in in aeroporto è disponibile pagando un supplemento, a men che il servizio di check-in in aeroporto non venga acquistato prima. Il check-in online apre in orari diversi per ciascun volo. Per maggiori informazioni consulta: Check-in e imbarco ."
Posso fare il check-in online presso entrambi gli aeroporti di partenza?,"Ti consigliamo di fare il check-in online per entrambi i voli e le prenotazioni entro i rispettivi orari di apertura e chiusura del check-in online. Alcuni aeroporti non supportano il check-in online e non emettono carte di imbarco elettroniche. In tal caso, recati al banco del check-in presso i rispettivi aeroporti (partenza o intermediario) per effettuare il check-in gratuitamente. Per maggiori informazioni e per l'elenco degli aeroporti con check-in gratuito, consulta: Check-in e imbarco ."
